No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,BF-A,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries,USA,10.67B,36.67,63.08,1.35%,"28,160"
2,BF-B,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries,USA,31.44B,39.93,68.72,1.61%,"647,524"
3,DEO,Diageo plc,Consumer Defensive,Beverages - Wineries & Distilleries,United Kingdom,78.92B,43.4,135.31,-0.41%,"427,812"
4,EAST,"Eastside Distilling, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries,USA,11.70M,-,1.2,2.56%,"85,193"
5,STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries,USA,32.74B,655.02,172.27,0.69%,"1,456,028"
6,WVVI,"Willamette Valley Vineyards, Inc.",,,,,,,,
